"Codigo Legem";"Atividade";"Comentarios";"vara"
"149528";"TRÂNSITO EM JULGADO";"TRÂNSITO EM ANEXO";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"149474";"SENTENÇA - CONCLUSOS PARA";"";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"141706";"SENTENÇA - CONCLUSOS PARA";"";"2º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"140486";"SENTENÇA - CONCLUSOS PARA";"";"2º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"134088";"SENTENÇA - CONCLUSOS PARA";"aguardando";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"183166";"TRÂNSITO EM JULGADO";"";"2º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"177129";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando julgamento do recurso.";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
" 	172547";"SENTENÇA - CONCLUSOS PARA";"PROCESSO AGUARDA JULGAMENTO.";"7ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"166767";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Recebo o presente recurso, vez que interposto temp";"3º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"154368";"SENTENÇA IMPROCEDENTE";"AGUARDANDO TRÂNSITO.";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"93666";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"15º Juizado Especial Cível e das Relações de Consu"
"319811";"CONTESTAÇÃO APRESENTADA";"DESPACHO EM 25/03/2015 - INTIMANDO O AUTOR PARA AP";"9a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"319787";"CONTESTAÇÃO APRESENTADA";"SENTENÇA AINDA NÃO PROFERIDA";"9a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"5567";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"- PROCON - ESTADUAL"
"319987";"ACORDO - FORMALIZADO";"AUDIÊNCIA REALIZADA.
Acordo firmado entre as part";"- PROCON - MUNICIPAL"
"5708";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ESPEC"
"140007";"TRÂNSITO EM JULGADO";"AGUARDANDO TRÂNSITO";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
" 	96151";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
" 	84669";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"2º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"139749";"SENTENÇA - CONCLUSOS PARA";"CONCLUSO DESDE 11/04/2014.";"23ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"115447";"EDcl - OPOSTOS PELO AUTOR/RÉU";"";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"307386";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Aguardando nova designação de audiência.";"- PROCON - MUNICIPAL"
"321486";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"SUBSÍDIOS PARA DEFESA

Cliente negativado pelo n";"5o JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"186008";"SENTENÇA - CONCLUSOS PARA";"AUTOS CONCLUSOS AGUARDANDO SENTENÇA.";"5ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"185946";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"AGUARDANDO JULGAMENTO RECURSO";"1o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"179047";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando jugalmentno";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"179029";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando Julgamento";"1o JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"151848";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"AGUARDANDO JULGAMENTO DO RECURSO";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"145412";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando julgamento";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"145566";"CONTESTAÇÃO APRESENTADA";"AUTOS CONCLUSOS AGUARDANDO SENTENÇA.";"10ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
" 	145326";"SENTENÇA - CONCLUSOS PARA";"AUTOS CONCLUSOS AGUARDANDO SENTENÇA.";"1ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"136928";"RECLAMAÇÃO - STJ - REU";"Nenhuma descrição.";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"112007";"CONTESTAÇÃO APRESENTADA";"Aguardando sentença";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"92507";"SENTENÇA - CONCLUSOS PARA";"AUDIÊNCIA REALIZADA - AUTOS SEGUEM AGUARDANDO JULG";"VARA ÚNICA  - JUSTIÇA ESTADUAL - COMUM"
"310088";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Audiência PROCON - CE para o dia 13/03/2";"- PROCON - MUNICIPAL"
"47764";"SENTENÇA - CONCLUSOS PARA";"CONCLUSO EM 02/03/2015.";"13a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"47764";"CONTESTAÇÃO APRESENTADA";"Conclusos desde 02/03/2015.
obs.: AGUARDANDO SENT";"13a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"150772";"CONTESTAÇÃO APRESENTADA";"aguardando sentença";"JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUMO  "
"136669";"SENTENÇA - CONCLUSOS PARA";"AUTOS CONCLUSOS AGUARDANDO SENTENÇA.";"11ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
" 	136651";"CONTESTAÇÃO APRESENTADA";"aguardando sentença";"2º JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"126926";"CONTESTAÇÃO APRESENTADA";"aguardando sentença";"2º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"136646";"SENTENÇA PARCIALMENTE PROCEDENTE";"Aguardando julgamento de ED";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
" 	126786";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando julgamento de RI do autor";"1º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"136650";"RECLAMAÇÃO - STJ - REU";"aguardando julgamento da Reclamação do autor";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"126466";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"TRANSITO/ARQUIVO FATURADO EM FEVEREIRO/2015.
LEGE";"VARA ÚNICA  - JUSTIÇA ESTADUAL - ESPECIAL"
"150406";"SENTENÇA IMPROCEDENTE";"SENTENÇA EM ANEXO";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"150386";"CONTESTAÇÃO APRESENTADA";"aguardando julgamento";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"143807";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando julgamennto";"3º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"136149";"CONTESTAÇÃO APRESENTADA";"Revogada a suspensão - aguardando designação de au";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"126073";"CONTESTAÇÃO APRESENTADA";"Revogada a suspensão - aguardando designação de au";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"136073";"CONTESTAÇÃO APRESENTADA";"Revogada a suspensão - aguardando designação de au";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"124632";"SENTENÇA - CONCLUSOS PARA";"DECORRIDO O PRAZO PARA APRESENTAR RÉPLICA. AUTOS C";"27ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"314547";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"PROCESSO RECEBIDO PELO CJUS P/ REALIZAÇÃO DE AUDIÊ";"7a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"154710";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"AGUARDANDO JULGAMENTO DO RECURSO";"JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ESPEC"
"261187";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"REC INOMINADO PELO AUTOR";"1º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"167772";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Situação: Audiência UNA remarcada para 05/05/2015,";"JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUMO  "
"139211";"CONTESTAÇÃO APRESENTADA";"Prazo para Apresentar Defesa p/05/03/2015.";"2o JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"193587";"ACORDO - FORMALIZADO";"SENTENÇA HOMOLOGATÓRIA





Vistos, etc ...";"9º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"122790";"SENTENÇA - CONCLUSOS PARA";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"164369";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando Julgamento do Recurso Inominado Interpo";"2º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"292826";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"RECURSO INOMINADO";"5º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"270967";"SENTENÇA - CONCLUSOS PARA";"AUTOS CONCLUSOS PARA SENTENÇA DESDE 12.01.2015.";"16ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"154467";"TRÂNSITO EM JULGADO";"AGUARDANDO TRÂNSITO";"JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUMO  "
"128607";"SENTENÇA PARCIALMENTE PROCEDENTE";"Nenhuma descrição.";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"293427";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"RECLAMAÇÃO ARQUIVADA";"- PROCON - ESTADUAL"
"226746";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Audiência Instrução e Julgamento para 27";"9º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"301006";"CONTESTAÇÃO APRESENTADA";"AUDIÊNCIA REALIZADA.";"5º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"300326";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Audiência UNA - PE para o dia 07/07/2015";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"92388";"RECLAMAÇÃO - STJ - REU";"";"7º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"92388";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"aguardando julgamento";"7º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"87532";"EXTINÇÃO SEM RESOLUÇÃO DE MÉRITO";"";"2o JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"309707";"SENTENÇA - CONCLUSOS PARA";"Designada LEITURA DE SENTENÇA para o dia 24/04/201";"2o JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"96151";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"185612";"ALVARÁ LEVANTADO";"";"2º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"114727";"SENTENÇA IMPROCEDENTE";"diligenciar transito";"JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ESPEC"
"177127";"TRÂNSITO EM JULGADO";"Certifico para os devidos fins de direito que a Se";"8º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"261747";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando Julgamento do Recurso";"JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ESPEC"
"156630";"ACORDO - FORMALIZADO";"";"- PROCON - ESTADUAL"
"269800";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Audiência UNA - PE para o dia 02/06/2015";"VARA ÚNICA  - JUSTIÇA ESTADUAL - ESPECIAL"
"144949";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"123306";"CONTESTAÇÃO APRESENTADA";"PROCESSO SUSPENSO POR DEPENDER DO JULGAMENTO DE OU";"4ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"153330";"TRÂNSITO EM JULGADO";"AGUARDANDO TRÂNSITO.";"2º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"172547";"SENTENÇA - CONCLUSOS PARA";"PROCESSO AGUARDA JULGAMENTO.";"7ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"243438";"SENTENÇA - CONCLUSOS PARA";"Autos conclusos para sentença.";"JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ESPEC"
"271506";"SENTENÇA - CONCLUSOS PARA";"Realizada audiência de conciliação. Processo remet";"- PROCON - ESTADUAL"
"177366";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Recurso Inominado da parte autora em anexo.";"1o JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"229826";"SENTENÇA - CONCLUSOS PARA";"Aguardando Sentença.";"JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ESPEC"
"154826";"EXTINÇÃO SEM RESOLUÇÃO DE MÉRITO";"";"12º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSU"
"157048";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"2º JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"291926";"CONTESTAÇÃO APRESENTADA";"AGUARDANDO INTIMAÇÃO PARA RÉPLICA.";"4ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"169495";"SENTENÇA - CONCLUSOS PARA";"PROCESSO AGUARDA JULGAMENTO.";"VARA ÚNICA  - JUSTIÇA ESTADUAL - COMUM"
"119931";"TRÂNSITO EM JULGADO";"";"11º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSU"
"303426";"CONTESTAÇÃO APRESENTADA";"INTIMAÇÃO PARA APRESENTAR RÉPLICA.";"VARA ÚNICA  - JUSTIÇA ESTADUAL - COMUM"
"109929";"ALVARÁ LEVANTADO";"ALVARÁ LEVANTADO PELA PARTE AUTORA";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"114566";"TRÂNSITO EM JULGADO";"BAIXA DEFINITIVA 16/04/2015 12:46 TJEPB24";"1ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"107693";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"VARA ÚNICA  - JUSTIÇA ESTADUAL - ESPECIAL"
"216788";"SENTENÇA - CONCLUSOS PARA";"AUDIENCIA REALIZADA. AUTOS CONCLUSOS AGUARDANDO JU";"2ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"227609";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Protocolo de Recurso Administrativo em data 29/05/";"- PROCON - ESTADUAL"
"299068";"CONTESTAÇÃO APRESENTADA";"SENTENÇA AINDA NÃO PROFERIDA.";"14ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"102928";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"Acórdão transitado em julgado com extinção do feit";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"306969";"CONTESTAÇÃO APRESENTADA";"Audiência realizada. Aguardando Decisão.";"- PROCON - MUNICIPAL"
"170977";"SENTENÇA IMPROCEDENTE";"";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"160386";"SENTENÇA - CONCLUSOS PARA";"PROCESSO AGUARDANDO SENTENÇA DESDE 25/04/2014

";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"131670";"EDcl - OPOSTOS PELO AUTOR/RÉU";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"269809";"CONTESTAÇÃO APRESENTADA";"SENTENÇA AINDA NÃO PROFERIDA";"3ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"131610";"CONTESTAÇÃO APRESENTADA";"Contestação protocolada em 29/01/2015.";"2o JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"38075";"SENTENÇA IMPROCEDENTE";"aguardando transito";"JE CIVEL ZONA SUL  - JUSTIÇA ESTADUAL - ESPECIAL"
"199647";"ACORDO - FORMALIZADO";"TRANSITO EM JULGADO AINDA NÃO CERTIFICADO";"19a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"199647";"ACORDO - FORMALIZADO";"ACORDO MUTIRÃO (HOMOLOGAÇÃO) - TRANSITO/ARQUIVAMEN";"19a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"199647";"ACORDO - FORMALIZADO";"ACORDO MUTIRÃO (HOMOLOGAÇÃO) - TRANSITO/ARQUIVAMEN";"19a VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"157620";"SENTENÇA - CONCLUSOS PARA";"";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"278026";"TRÂNSITO EM JULGADO";"Extinto o processo por abandono da causa pelo auto";"13º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSU"
"289826";"TRÂNSITO EM JULGADO";"Aguardando Trânsito.";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"285748";"CONTESTAÇÃO APRESENTADA";"INTIMADAS AS PARTES SOBRE O ACORDÃO DE FLS. 132/14";"VARA ÚNICA  - JUSTIÇA ESTADUAL - COMUM"
"236446";"SENTENÇA PROCEDENTE";"Aguardando intimação da homologação";"2º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"295586";"SENTENÇA - CONCLUSOS PARA";"CONTESTAÇÃO E RÉPLICA APRESENTADAS. AUTOS CONCLUSO";"4ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"1065";"TRÂNSITO EM JULGADO";"No legem já tem certidão de transito.";"JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ESPEC"
"170976";"SENTENÇA - CONCLUSOS PARA";"Nesta data, faço conclusos os presentes autos a(o)";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"170976";"SENTENÇA - CONCLUSOS PARA";"Nesta data, faço conclusos os presentes autos a(o)";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"294069";"TRÂNSITO EM JULGADO";"Aguardando Trânsito.";"2º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"307646";"SENTENÇA - CONCLUSOS PARA";"AUDIÊNCIA REALIZADA - DEFESA APRESENTADA - CONCLUS";"6o JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"172254";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Certifico para os devidos fins que, nesta data, re";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"252167";"TRÂNSITO EM JULGADO";"Aguardando Trânsito";"5º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"187467";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"AUTOR";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"148307";"SENTENÇA - CONCLUSOS PARA";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"102815";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"102815";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"102815";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"38159";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"- PROCON - ESTADUAL"
"260846";"TRÂNSITO EM JULGADO";"Reclamante discordou das alegações suscitadas pelo";"- PROCON - ESTADUAL"
"183187";"SENTENÇA PARCIALMENTE PROCEDENTE";"";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"278926";"TRÂNSITO EM JULGADO";"AGUARDANDO.";"7º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"272346";"SENTENÇA IMPROCEDENTE";"Nenhuma descrição.";"1º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"37463";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"Designada Remarcação de Audiência UNA - AL para o ";"1º JUIZADO ESPECIAL CIVEL  - JUSTIÇA ESTADUAL - ES"
"188146";"EXTINÇÃO SEM RESOLUÇÃO DE MÉRITO";"";"3º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSUM"
"290846";"CONTESTAÇÃO APRESENTADA";"CONSULTA IMPOSSIBILITADA 

TJ FORA DO AR";"7ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"290846";"AUDIÊNCIA - AGUARDA REALIZAÇÃO";"DESIGNADA PARA O DIA 19/05/2015.";"7ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"181268";"CONTESTAÇÃO APRESENTADA";"PROTOCOLADA. AGUARDAR DESPACHO PARA RÉPLICA.";"14ª VARA CÍVEL  - JUSTIÇA ESTADUAL - COMUM"
"223406";"SENTENÇA - CONCLUSOS PARA";"AGUARDANDO SENTENÇA";"JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ESPEC"
"247027";"APELAÇÃO/REC INOMINADO PELO AUTOR/RÉU";"Aguardando Julgamento do Recurso Inominado Interpo";"2º JUIZADO ESPECIAL MISTO  - JUSTIÇA ESTADUAL - ES"
"106731";"PROCESSO ENCERRADO - ARQUIVADO EM DEFINITIVO";"";"1º JUIZADO ESPECIAL CÍVEL  - JUSTIÇA ESTADUAL - ES"
"300166";"EXTINÇÃO SEM RESOLUÇÃO DE MÉRITO";"";"22º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSU"
"300166";"TRÂNSITO EM JULGADO";"";"22º JUIZADO ESPECIAL CIVEL E DAS RELAÇÕES DE CONSU"
